customer_id,issue_date,age,gender,marital_status,dependents,education_level,employment_status,annual_income,credit_score,loan_amount,term_months,interest_rate_pct,loan_purpose,home_ownership,default_12m
1,2023-11-15,37,Male,Married,1.0,Pflichtschule,Employed,44425.58,658,25829.27,48,7.63,Car,Rent,0
2,2025-04-03,36,Male,Married,0.0,Pflichtschule,Employed,53998.14,649,17444.18,36,8.59,Car,Rent,0
3,2024-10-03,60,Male,Married,0.0,Lehre/AHS,Retired,19813.14,661,6696.58,48,7.01,Home improvement,Mortgage,0
4,2024-05-23,29,Female,Single,0.0,Universität/FH,Employed,45939.59,605,6114.33,36,10.71,Furniture/Appliances,Rent,1
5,2023-05-04,59,Male,Single,0.0,Lehre/AHS,Retired,19617.42,743,14684.71,60,4.28,Car,Own,0
6,2023-05-04,20,Female,Single,0.0,Pflichtschule,Student,,647,11045.15,60,11.43,Home improvement,Rent,0
7,2023-02-22,47,Male,Single,3.0,Lehre/AHS,Self-employed,25807.03,669,18328.58,48,6.75,Car,Rent,0
8,2025-01-29,64,Female,Married,0.0,Lehre/AHS,Part-time,8326.51,714,8620.26,72,4.57,Home improvement,Own,0
9,2024-05-24,27,Female,Married,1.0,Lehre/AHS,Part-time,,621,15054.42,48,10.26,Home improvement,Rent,0
10,2024-09-18,45,Female,Single,0.0,Pflichtschule,Employed,48830.46,618,6746.88,60,11.85,Home improvement,Rent,0
11,2023-01-20,32,Female,Single,0.0,Universität/FH,Employed,40927.72,661,14487.6,60,8.53,Home improvement,Rent,0
12,2025-04-17,46,Female,Single,0.0,Lehre/AHS,Self-employed,65026.97,692,17523.89,36,7.4,Car,Mortgage,0
13,2024-12-27,36,Female,Widowed,0.0,Lehre/AHS,Unemployed,9528.63,679,19393.84,48,6.86,Car,Mortgage,0
14,2023-06-15,47,Male,Married,0.0,Pflichtschule,Part-time,20163.48,569,21966.79,36,12.22,Car,Mortgage,0
15,2023-05-22,29,Female,Divorced,0.0,Pflichtschule,Employed,35941.84,647,17908.84,36,11.78,Car,Rent,0
16,2023-05-23,29,Male,Married,2.0,Lehre/AHS,Self-employed,40075.94,512,16110.19,60,14.15,Car,Rent,0
17,2023-09-27,18,Male,Married,0.0,Universität/FH,Employed,100590.04,610,16727.36,60,10.25,Car,Rent,0
18,2024-04-02,34,Male,Married,3.0,Lehre/AHS,Employed,66242.35,723,22161.86,72,5.69,Home improvement,Own,0
19,2024-01-17,39,Male,Single,0.0,Universität/FH,Employed,,734,26381.58,72,4.52,Car,Own,0
20,2023-09-18,64,Male,Married,0.0,Lehre/AHS,Employed,,661,7425.51,48,9.51,Other,Own,0
21,2024-05-31,52,Male,Single,0.0,Pflichtschule,Unemployed,9907.34,638,9227.33,24,12.46,Other,Mortgage,0
22,2023-04-21,39,Male,Married,0.0,Lehre/AHS,Employed,36406.8,664,11478.01,36,7.25,Car,Own,0
23,2023-09-19,80,Female,Single,0.0,Lehre/AHS,Retired,22719.31,720,13726.42,48,4.61,Home improvement,Own,0
24,2023-11-08,55,Male,Married,0.0,Lehre/AHS,Retired,25586.38,751,2742.22,36,3.19,Other,Mortgage,0
25,2024-02-07,74,Female,Single,0.0,Lehre/AHS,Retired,20763.65,682,11581.64,48,8.19,Home improvement,Own,0
26,2024-11-08,36,Male,Divorced,0.0,Lehre/AHS,Employed,48344.26,650,15386.86,36,7.2,Other,Mortgage,0
27,2023-06-05,28,Female,Single,0.0,Lehre/AHS,Employed,,581,2490.5,48,10.06,Other,Rent,0
28,2024-03-22,24,Female,Married,0.0,Universität/FH,Student,4050.94,637,5489.95,24,11.17,Other,Rent,0
29,2024-05-17,51,Female,Married,0.0,Pflichtschule,Employed,41905.73,764,15514.51,60,2.78,Car,Rent,0
30,2023-02-13,30,Female,Married,0.0,Lehre/AHS,Employed,25999.9,732,11655.73,36,4.54,Car,Mortgage,0
31,2024-05-29,28,Male,Married,1.0,Lehre/AHS,Employed,61568.42,698,24313.53,48,6.64,Car,Rent,0
32,2023-05-12,39,Female,Widowed,0.0,Lehre/AHS,Employed,31612.06,685,16940.67,48,8.1,Home improvement,Rent,0
33,2023-03-01,41,Female,Single,0.0,Lehre/AHS,Other,19822.95,609,27661.98,72,10.05,Home improvement,Rent,0
34,2025-04-03,47,Female,Divorced,0.0,Universität/FH,Employed,58070.68,668,15023.41,72,6.1,Car,Mortgage,0
35,2025-04-15,27,Female,Married,0.0,Lehre/AHS,Other,22475.24,654,11139.24,36,6.25,Car,Rent,0
36,2024-11-26,42,Male,Married,1.0,Lehre/AHS,Employed,49166.44,675,10823.96,48,6.88,Furniture/Appliances,Mortgage,0
37,2023-09-27,47,Female,Married,1.0,Lehre/AHS,Other,14165.16,698,18195.81,48,7.32,Car,Mortgage,0
38,2023-03-23,77,Male,Married,0.0,Lehre/AHS,Retired,21023.85,717,6600.13,36,5.87,Furniture/Appliances,Mortgage,0
39,2024-09-03,51,Female,Divorced,1.0,Lehre/AHS,Employed,33121.63,698,12434.08,36,7.31,Furniture/Appliances,Rent,0
40,2024-01-24,85,Male,Married,0.0,Lehre/AHS,Employed,51702.27,669,16188.34,60,6.66,Home improvement,Own,0
41,2023-04-11,50,Female,Married,0.0,Universität/FH,Employed,39638.91,626,24520.98,48,10.8,Car,Rent,0
42,2024-03-11,36,Male,Single,0.0,Lehre/AHS,Employed,38965.47,632,6886.76,24,10.39,Other,Mortgage,0
43,2023-02-02,33,Male,Single,0.0,Lehre/AHS,Employed,34855.38,679,16374.28,48,7.42,Car,Mortgage,0
44,2025-03-06,54,Female,Married,0.0,Pflichtschule,Employed,41059.27,564,8173.13,36,14.68,Other,Mortgage,0
45,2023-08-18,47,Female,Married,0.0,Pflichtschule,Employed,36638.96,674,13351.83,36,6.96,Other,Rent,0
46,2024-07-26,52,Female,Married,1.0,Pflichtschule,Employed,28605.61,740,15356.3,60,4.66,Home improvement,Own,1
47,2023-10-02,37,Male,Single,0.0,Pflichtschule,Employed,69562.94,727,9403.88,24,4.84,Furniture/Appliances,Mortgage,0
48,2024-03-27,44,Male,Married,,Lehre/AHS,Part-time,52837.55,668,1000.0,72,6.92,Home improvement,Mortgage,0
49,2024-04-16,30,Female,Single,0.0,Lehre/AHS,Employed,59739.12,658,1000.0,48,7.6,Other,Mortgage,0
50,2023-05-24,45,Female,Married,2.0,Lehre/AHS,Unemployed,6492.62,689,9231.6,36,5.34,Car,Own,0
51,2025-04-16,31,Female,Divorced,0.0,Lehre/AHS,Employed,41909.01,683,12344.94,60,6.66,Home improvement,Rent,0
52,2024-10-30,65,Male,Married,1.0,Lehre/AHS,Other,31090.83,676,13011.7,48,6.47,Car,Rent,0
53,2025-03-27,29,Female,Single,0.0,Lehre/AHS,Employed,28283.72,643,18448.27,36,10.74,Other,Rent,0
54,2025-02-21,19,Male,Divorced,0.0,Lehre/AHS,Retired,32401.57,658,9893.08,36,7.07,Other,Rent,0
55,2024-05-22,36,Female,Married,1.0,Universität/FH,Employed,25693.86,653,8650.07,36,7.54,Furniture/Appliances,Rent,0
56,2025-03-14,49,Male,Married,3.0,Pflichtschule,Part-time,51008.89,731,7371.46,60,4.89,Home improvement,Mortgage,0
57,2023-03-16,40,Male,Single,0.0,Universität/FH,Self-employed,39008.7,734,14395.06,48,2.35,Car,Mortgage,0
58,2023-06-01,27,Female,Married,0.0,Lehre/AHS,Employed,93060.19,625,25858.67,60,9.44,Home improvement,Rent,0
59,2023-02-13,39,Female,Single,2.0,Lehre/AHS,Employed,,634,9564.82,24,12.04,Education,Mortgage,0
60,2023-10-10,27,Male,Married,1.0,Pflichtschule,Self-employed,47375.96,746,9247.47,48,4.25,Furniture/Appliances,Rent,0
61,2023-11-24,78,Male,Single,0.0,Pflichtschule,Retired,20265.4,676,1000.0,60,8.01,Home improvement,Own,0
62,2023-09-05,74,Male,Single,0.0,Lehre/AHS,Part-time,,641,7872.61,24,11.5,Other,Rent,0
63,2024-12-19,43,Female,Single,0.0,Lehre/AHS,Part-time,19843.38,700,21566.34,48,5.21,Car,Mortgage,0
64,2023-10-31,31,Male,Single,0.0,Lehre/AHS,Employed,45194.88,682,8860.17,36,7.61,Other,Mortgage,0
65,2023-09-12,48,Male,Single,2.0,Lehre/AHS,Self-employed,18673.5,757,1000.0,60,3.49,Home improvement,Rent,0
66,2024-04-12,23,Female,Married,,Lehre/AHS,Employed,35622.86,641,29247.58,48,9.48,Car,Rent,0
